"","BoroName","NTAName","lng","lat"
"170","Queens","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",-73.8213213,40.6158335
"171","Bronx","Crotona Park East",-73.8921959,40.8366558
"172","Bronx","Soundview-Castle Hill-Clason Point-Harding Park",-73.8581793,40.8089546
"173","Staten Island","Rossville-Woodrow",-74.2134778,40.5556605
"174","Staten Island","Arden Heights",-74.1739057,40.5567951
"175","Queens","Far Rockaway-Bayswater",-73.7702169,40.6131343
"176","Bronx","park-cemetery-etc-Bronx",-73.8648268,40.8447819
"177","Brooklyn","Carroll Gardens-Columbia Street-Red Hook",-74.008049,40.674782
"178","Manhattan","park-cemetery-etc-Manhattan",-73.9712488,40.7830603
"179","Queens","Rosedale",-73.7389596,40.6584068
"180","Queens","Flushing",-73.833079,40.7674987
"181","Queens","Queensboro Hill",-73.940202,40.750582
"182","Manhattan","Hudson Yards-Chelsea-Flatiron-Union Square",-73.9896869,40.7410611
"183","Manhattan","Gramercy",-73.9819362,40.7376885
"184","Brooklyn","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",-73.9958466,40.7032417
"185","Brooklyn","Clinton Hill",-73.9639021,40.6893665
"186","Brooklyn","Williamsburg",-73.9570696,40.7081156
"187","Brooklyn","park-cemetery-etc-Brooklyn",-73.9441579,40.6781784
"188","Manhattan","Hamilton Heights",-73.9496079,40.8259597
"189","Manhattan","Washington Heights South",-73.9393554,40.8417082
"190","Bronx","Highbridge",-73.9271644,40.8384699
"191","Bronx","West Concourse",-73.9227554,40.8316761
"192","Queens","Forest Hills",-73.8448469,40.718106
"193","Queens","park-cemetery-etc-Queens",-73.7948516,40.7282239
"194","Queens","Springfield Gardens South-Brookville",-73.792844,40.700244
"195","Queens","Airport",-73.8739659,40.7769271
