"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy","Battery Park City-Lower Manhattan","Clinton","West Brighton","South Jamaica","Ozone Park","Georgetown-Marine Park-Bergen Beach-Mill Basin","Brighton Beach","Bensonhurst East","West Farms-Bronx River","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Homecrest","Westchester-Unionport","Oakwood-Oakwood Beach","Grymes Hill-Clifton-Fox Hills","Park Slope-Gowanus","Stapleton-Rosebank","Crown Heights North","Fresh Meadows-Utopia","Bellerose","Stuyvesant Heights","East Williamsburg","Ridgewood","Rego Park","East Harlem South","Bushwick South","East Harlem North","Bushwick North","Glendale","Charleston-Richmond Valley-Tottenville","park-cemetery-etc-Staten Island","New Springville-Bloomfield-Travis","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","South Ozone Park","Lindenwood-Howard Beach"
"55","West New Brighton-New Brighton-St. George",40.6423258,-74.0929194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3206,4049,4418,5990,5209,5657,6097,4677,3874,3146,1824,2199,6873,5619,4759,5181,5197,5931,5598,6510,3576,5321,5588,2783,5404,3645,4866,5469,4831,3782,2829,4091,5054,2695,3352,2903,5505,3157,3640,4171,1232,5299,4184,5408,5064,3498,5662,4142,5365,5213,3985,1113,3353,1177,3930,6479,5537,4121,4507,5417,6772,5738,5050,4503,5050,5428,2913,3433,2256,3699,5929,4901
"56","West Village",40.735781,-74.0035709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,957,3776,3959,2562,3470,1963,1036,3445,3762,3639,4242,2867,2017,2107,2232,3146,2651,3402,1154,1674,2949,1901,2712,1859,1869,2807,3023,1931,890,1442,2697,3019,2627,2291,3882,718,1291,1334,3833,3815,2489,3608,2643,2695,3086,2292,2464,3504,4359,2894,1841,2974,2399,3646,2853,2301,1773,2786,2804,1961,2244,1961,2124,2759,4168,4490,4258,4180,3242,2996
"57","East Village",40.7264773,-73.9815337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,3727,2899,3113,3985,2235,585,3170,4724,4601,4571,3382,2506,2536,2792,3862,2208,3521,974,1750,2659,2392,2299,2040,2105,2624,2923,2126,905,1624,2580,3314,3263,2392,4558,894,2154,1581,4083,3548,2605,3837,2954,3135,3216,2603,3120,3485,4529,3064,2341,4335,2508,4197,3451,2553,1520,2430,3160,2313,2128,2313,2128,2506,5466,4735,4524,4363,3358,3172
"58","Chinatown",40.7157509,-73.9970307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,2875,2831,3962,2099,1372,2600,3967,3844,4517,3396,2482,2967,2512,3891,2279,3497,945,2379,2635,1694,2275,1648,2340,2796,2899,1450,593,1774,2483,3736,2430,2436,4162,540,1226,1532,4225,2928,2298,3401,2436,2488,3192,2085,2474,3431,4507,3042,1634,2794,2035,3799,3251,1950,2060,2595,2987,2259,1958,2259,1958,3046,4187,4633,5557,4325,3443,2865
"59","Pelham Bay-Country Club-City Island",40.8505556,-73.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,3968,3344,3697,3805,6649,5611,5755,1184,2323,3118,3842,2435,2861,2380,3239,4221,4982,3023,5639,2586,4633,2828,3378,2141,4998,3915,3471,6082,5466,4973,5189,5493,3727,3981,3838,6490,5826,4967,7013,5631,5773,1294,5700,5752,1023,6298,5131,5009,5497,4630,4004,5076,5519,4632,5109,4652,2268,5172,2208,5287,5468,6276,6917,6946,6650,5557,5834
"60","Woodlawn-Wakefield",40.895361,-73.862916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4277,2372,3584,3512,4990,5379,5256,1842,1026,3064,3815,3284,4086,3583,1642,3128,3649,1800,4186,1584,5481,2597,2553,2044,5113,4072,2620,6053,4823,4330,4469,4858,2559,4445,4129,6738,4928,4354,5605,4838,4920,2332,4547,6270,2494,6043,4671,3886,4734,3867,4557,5651,4336,3449,4299,3859,1631,5804,1631,3997,4375,5663,5992,5890,6866,5077,6023
"61","Old Astoria",40.7331241,-73.8927255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5058,2071,2227,5935,5606,5483,4439,4040,3435,1956,1111,2081,2585,4387,3218,2636,3495,3965,4581,3108,2823,2390,3557,4026,2993,1467,3239,5940,4685,3814,3336,2932,3787,2569,6360,2412,2597,4373,4617,5141,3820,4416,4703,4351,6637,5432,4020,4740,3717,2824,2932,2910,1735,1433,1976,2947,2935,2977,2935,2135,6012,5644,5542,6266,2754,3434
"62","Van Cortlandt Village",40.8910788,-73.8948475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4199,3857,5634,5799,5943,3708,1356,2777,4883,4672,5616,4195,3260,4134,4495,1018,5571,871,4839,1443,3331,3349,4377,3918,3708,5347,5912,5456,5344,5975,3722,4370,3273,6676,5219,4989,6576,5533,5675,3980,5452,5834,4148,7588,6323,4821,6166,4875,5952,5512,5071,4684,5654,5613,2169,5614,3073,4744,5310,7328,6200,6128,7735,5862,5616
"63","Astoria",40.7643574,-73.9234619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,4793,4747,4624,4047,3719,2219,2016,1545,2437,1814,3421,2657,1943,2559,3404,2199,3028,2966,1096,2666,2913,1830,791,4001,4479,3975,3657,3320,2005,2421,1825,5362,2382,3692,4656,4326,4108,2959,3915,3967,3228,5351,3886,3284,4087,3235,3202,3157,3884,2937,2518,2180,2056,3717,2056,3892,3360,5596,5216,5114,5225,3536,3636
"64","Stuyvesant Town-Cooper Village",40.7317047,-73.9778512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109,5098,3836,3616,3321,2222,2475,2557,3801,2147,3316,1433,1689,2454,2916,2094,1979,2044,2901,2512,2065,1072,1563,2519,3253,3847,2976,4206,959,1603,1520,4639,3487,2544,4661,3358,3170,3101,3007,3059,3400,5160,3098,2286,4017,2447,3911,3390,2492,1459,2369,3099,2228,2067,2843,2067,2445,5405,4674,4463,4978,3297,3111
"65","Dyker Heights",40.6187181,-74.0153231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,2723,5287,4921,4754,5588,5073,4944,5298,5982,3201,3837,6729,1253,4743,2827,4011,5357,5444,2828,2976,4065,4024,2792,1272,1638,4664,2273,1825,3005,3207,5653,3966,4316,2729,1162,5919,3220,2611,4321,3373,2159,2028,2277,3179,5349,4849,3868,3700,4502,5677,4984,3955,3676,3955,4686,3740,3970,4160,3898,4448,4592
"66","New Brighton-Silver Lake",40.6269237,-74.0953653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,7361,5349,4939,5735,5040,6275,5441,6854,4065,4906,5932,3317,5472,4260,4750,5599,5319,4418,3144,4381,4986,2418,3457,3497,6228,3666,3402,4706,1026,6189,4114,6211,5075,3525,5946,5140,5073,5949,4177,1394,3887,1197,4418,6967,6174,4609,5783,6731,6651,5230,5272,5290,5622,6300,3194,2759,2927,2849,5832,5078
"67","Westerleigh",40.616296,-74.1386767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6381,4709,4933,5504,4960,6045,6451,6624,4474,5530,5702,2911,5422,4485,4700,5549,5077,4308,3320,4479,5108,1302,3366,3406,6507,4229,3343,4455,1708,5843,4339,6436,4931,3381,5425,4692,5164,5235,2725,2530,3781,2590,4132,6523,6086,4608,5143,6091,6011,4590,4922,4590,4922,5600,2393,2297,2052,2171,5579,4838
"68","Co-op City",40.8749698,-73.8281865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,3368,4353,2946,3587,2891,3472,4754,5017,4587,6016,2699,5032,2941,3738,3329,5986,3989,3872,6267,6041,6311,5993,6074,4634,4733,4472,7080,5936,5764,6938,6248,6377,1973,6484,6399,1702,7483,6165,5596,6136,5367,4575,5647,5734,5101,5760,5845,3056,5995,2827,5671,5935,7223,8176,7611,7387,7185,6619
"69","University Heights-Morris Heights",40.862248,-73.91312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,4035,3074,4030,3343,2011,3166,4006,300,4303,180,4291,895,2313,2875,4082,3153,3160,4774,5364,5128,4638,5427,3174,3822,2725,6484,4671,4531,5825,4715,5157,2668,4879,5286,2598,6802,5095,3943,4336,3567,4401,5174,4763,4076,4465,3769,1391,4526,2521,4659,5242,5423,5752,5650,6528,5589,5248
"70","East Concourse-Concourse Village",40.7944562,-73.9547233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410,3229,3817,3403,2694,2599,2812,1772,3403,1809,3241,1391,2358,1746,3204,2188,2093,4019,4739,4579,3708,4205,2070,2798,1587,4988,3875,3721,4960,3965,4017,1979,3584,3756,2278,5791,4326,3133,4444,3702,4206,4776,3653,3091,3702,3466,1106,3566,1106,3446,4649,8062,4842,4740,5866,3977,4258
"71","Bayside-Bayside Hills",40.76314,-73.77125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,1595,575,4564,3171,2344,3792,4554,4157,3470,3132,2952,4239,3883,2909,1944,3445,5418,4648,4394,3899,2867,3456,2578,6118,2559,3873,5876,4780,4922,3527,4932,4984,3663,6470,5340,4068,5259,4381,1661,2697,4995,3899,2917,3128,3613,4941,3269,4941,3968,6284,6665,6563,6607,3141,2466
"72","North Corona",40.7502698,-73.8624893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,659,4026,2642,2318,3164,4032,3939,2752,2937,2234,3071,3558,2355,1166,3001,4854,4620,4032,2549,2206,2976,1843,5673,2187,2709,5378,4341,4423,3784,4290,4342,2937,6091,4261,3659,4829,3610,1927,2386,3389,2286,2385,1412,2431,4002,2401,3792,2684,5891,5827,5725,6703,2872,2898
"73","Kew Gardens Hills",40.7384986,-73.8106854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,5441,4224,3447,4612,4043,5665,4291,4129,3739,4355,3648,3211,2551,3078,6200,6249,3983,2920,3938,4466,3333,7523,2562,2988,5558,4293,4460,3616,4093,4565,3519,6786,6627,4731,5871,3671,806,2238,3615,3133,2534,1860,3923,3833,4180,3833,2917,6958,7128,7026,7122,2919,3253
"74","Pomonok-Flushing Heights-Hillcrest",40.75789,-73.83135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4573,3189,2173,3681,3799,3402,3299,3948,2307,3543,3128,2902,1713,3650,4663,5167,4296,3321,2387,2941,2063,6700,3283,3727,5304,4888,4167,2876,4297,4349,2527,6485,5318,4206,4564,3686,1721,3464,3679,3694,2820,1959,3128,4322,2978,4322,3267,6438,6374,5543,6521,2896,2131
"75","North Side-South Side",40.9087293,-73.8164787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4021,4561,2712,5038,2490,4782,2503,3465,2956,5614,3614,3592,5474,5795,6149,5278,7106,3471,4085,4132,6474,5333,5176,6737,5630,5652,3159,5339,5571,3248,6854,5679,4738,5586,4719,5733,6947,5248,4361,5623,4788,2603,5051,3012,5051,5347,6635,6964,6862,6739,5924,5803
"76","Lower East Side",40.715033,-73.9842724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,2896,1918,3308,1396,2246,2759,3130,1731,961,1945,2445,3823,2759,1888,4414,885,1537,1782,4454,4124,2056,4003,2808,2860,3423,2457,2629,3752,4465,3000,1828,3409,1865,4053,3784,1972,2137,2617,3295,2580,1980,2580,1980,3158,5270,4877,5081,4299,2839,2593
"77","Greenpoint",40.7245448,-73.9418603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3323,2858,3801,2011,3043,2876,3837,2741,2071,1235,2525,4201,3819,2948,3788,1958,2632,2182,5613,3750,2733,3965,3292,3472,4070,2971,3443,3795,5562,4097,2618,3911,2787,4001,3609,1914,898,2272,2395,2955,2286,2923,1922,2664,5899,6165,5335,5591,3516,3503
"78","Spuyten Duyvil-Kingsbridge",40.878245,-73.921455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126,120,3870,857,2553,2044,3791,2522,2500,5019,4763,5117,4246,4606,2199,2783,2687,6678,5556,4343,5348,4565,4793,2067,4127,4359,2336,5882,4707,3939,4576,3807,4881,5174,4276,3389,4226,3859,1631,3839,1631,4079,4375,5663,5992,5650,5527,4460,5011
"79","Sunset Park East",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4094,1848,3362,4380,3856,1600,1937,2701,2660,2692,1145,0,3750,1575,2125,2865,3111,3577,2632,3839,2636,1518,4089,2315,2757,4729,3243,2022,719,2266,1845,3849,3349,2504,3047,3649,4957,3426,3119,3426,3036,4033,3610,3857,4424,3374,3475,3289
"80","Marble Hill-Inwood",40.874333,-73.910941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103,707,4190,1924,3641,2402,2380,4281,5176,5016,4145,5195,2079,3634,2537,5838,4663,4343,5637,4857,4969,1947,4266,5098,2216,6614,5447,4085,5287,3687,5272,5054,4455,3888,4277,4598,1511,3719,1271,4338,4574,6592,6061,5959,6340,5246,5060
"81","Fort Greene",40.6920638,-73.9741874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,3725,3537,829,1623,1826,2011,3401,2661,1790,3294,1627,1852,2519,4061,2812,1983,3772,2256,2468,3770,1971,2443,3829,4591,3126,1730,3329,1826,4616,3135,1615,2052,3502,3362,3339,2474,3184,2079,3541,4836,4945,4928,4630,2600,2504
"82","Washington Heights North",40.8417082,-73.9393554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,1904,3450,1951,1898,3572,5014,4307,3436,4328,2281,3116,1710,4841,3661,3634,5119,3788,3870,2958,3489,4111,2642,5638,4173,3038,4411,3619,3853,4681,3776,2939,3811,3319,1568,3419,1560,3561,3797,7884,4695,4593,6339,4357,4231
"83","Steinway",40.7745459,-73.9037477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,3649,2566,1825,4549,5215,4711,4393,4152,2771,3187,2477,6458,3002,3296,5978,4942,4134,2775,4441,4703,3164,6087,4871,4020,4969,3971,3829,3723,4620,2948,2331,1993,1965,3683,1965,4333,3031,5954,5952,5850,5611,3074,3823
"84","Mott Haven-Port Morris",40.8014899,-73.9095811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998,2915,2471,4756,5026,3973,4849,4789,2682,2906,3017,5415,4781,4147,5308,4841,4655,1434,4520,4724,1763,5568,4401,4069,4701,3690,4494,5708,4549,3752,4229,3862,1478,4557,1478,4322,4738,5788,6440,6338,5680,5082,5104
"85","Prospect Heights",40.6774196,-73.9668408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,2203,1922,4177,2517,1646,3115,1543,1984,2610,3952,2671,1864,3579,1758,2290,3961,1407,1879,4110,4914,3449,1676,3218,1220,4411,2994,1526,2813,3581,3959,3148,2089,3148,1956,2995,4727,5036,4819,4337,2557,2341
"86","Central Harlem North-Polo Grounds",40.7127837,-74.0059413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,2269,3211,2229,1958,4216,449,453,1487,3212,2951,2091,3775,2578,2600,2441,2227,2609,3340,3921,2456,1868,2677,1757,3973,3274,2004,1789,2649,2829,2168,2012,2168,2012,2775,3601,4005,4912,3680,2724,2598
"87","Queensbridge-Ravenswood-Long Island City",40.744679,-73.9485424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343,4379,3514,2643,2759,1546,1995,1183,4614,2631,2601,4369,2987,3403,2614,2970,3138,2913,4955,3966,2648,4167,2195,3002,2596,1960,1606,2505,1862,1741,2952,1741,2213,2592,5200,4606,4504,5314,3082,3228
"88","Cypress Hills-City Line",40.6762144,-73.8870806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,3701,2889,2663,2336,2490,3414,5196,2355,988,3440,3160,3366,4544,2839,3311,4933,5742,4546,2650,4577,1982,2996,2614,1433,2287,2084,2131,4061,1818,4061,1457,1762,8065,5929,6163,6495,2114,1795
"89","New Dorp-Midland Beach",40.57348,-74.11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735,2775,6311,4152,2722,4802,1886,5647,4188,5860,4876,3310,5693,4756,4758,4807,1344,720,3105,840,3704,6844,5311,4929,4715,5164,5182,4162,5243,4162,4494,5172,1080,1458,2703,1387,5091,5235
"90","Bay Ridge",40.6261638,-74.0329499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,4573,3088,2948,3598,2986,3849,3425,4934,3358,1825,5062,3138,3180,5061,3248,1938,1603,2023,2638,4672,4172,3327,4530,4472,5780,4326,3799,4326,3799,4586,3615,4186,4592,3677,4298,4142
"91","Sunset Park West",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,1575,2125,2865,3111,3026,2632,3839,2636,1518,4089,2315,2757,4298,3243,2022,719,2266,1845,3849,3349,2504,3047,3649,4957,3426,3119,3426,3036,4033,3610,3857,4424,3374,3475,3289
