"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old Town-Dongan Hills-South Beach","Flatbush","Melrose South-Mott Haven North","Ocean Hill","Morningside Heights","Soundview-Bruckner","Allerton-Pelham Gardens","Jamaica Estates-Holliswood","Hollis","Flatlands","East New York","Kingsbridge Heights","Norwood","Manhattanville","Grasmere-Arrochar-Ft. Wadsworth","Queens Village","Springfield Gardens North","Canarsie","Bensonhurst West","West New Brighton-New Brighton-St. George","West Village","East Village","Chinatown","Pelham Bay-Country Club-City Island","Woodlawn-Wakefield","Old Astoria","Van Cortlandt Village"
"23","College Point",40.786395,-73.8389657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,2792,3566,2536,3710,3820,5387,7002,4366,2897,2437,6638,5867,5457,3963,6304,5072,2162,2800,3436,3634,6784,6468,4111,4390,4824,5948,3752,5141,5487,5714,7271,3374,3626,3640,2803,3644,3574,5277
"24","Morrisania-Melrose",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,5888,1281,2153,1775,3929,5945,3957,1644,2968,4898,4717,4041,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545
"25","Elmhurst",40.737975,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3293,2976,2385,2097,3588,3441,2494,3822,1476,4707,5314,3928,3258,4847,3055,3677,3859,2160,2390,4733,3780,3600,4131,3078,5268,1791,2947,4191,4395,5436,2451,2989,2987,3997,3439,1030,4819
"26","Glen Oaks-Floral Park-New Hyde Park",40.7471504,-73.7118223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5027,4346,4058,5789,4894,4695,5843,3409,6698,7517,5809,5640,6396,4972,4373,6000,1676,2078,6042,4962,5591,6002,5219,7520,1281,3650,3081,6866,8179,4862,4438,4469,5077,6687,3541,6485
"27","Longwood",40.8248438,-73.8915875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,1426,4192,5908,3698,1121,2709,4951,4458,3782,1477,5301,1739,1710,1103,4460,4554,5385,4808,2044,1771,1916,4532,5018,5081,4406,4549,5098,2352,2625,2518,1436,1859,3043,3219
"28","Yorkville",40.7762231,-73.9492079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,3464,5060,3030,2528,2554,3561,3730,3114,1431,4633,1914,1656,2775,4035,4333,4717,3722,2396,3064,3216,3774,4550,4533,3828,3911,4500,1918,2149,2180,2673,2935,3073,3121
"29","Upper East Side-Carnegie Hill",40.784774,-73.9492428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,4760,2820,1988,2251,4133,3430,3174,891,3875,1823,1681,2415,3825,3736,4417,3422,2096,2764,2537,3474,4290,4199,3828,3761,4200,1918,1849,1880,2133,3920,2308,2787
"30","Windsor Terrace",40.6539346,-73.9756567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4047,4484,4785,3821,2036,3790,1282,3966,2124,3538,5160,4702,5223,3424,2908,3757,4383,4674,3621,2875,5737,3625,3079,1759,4069,2124,2189,1981,4960,5608,3487,5002
"31","Hammels-Arverne-Edgemere",40.5925731,-73.7783688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6055,6492,4414,5384,5488,4008,5649,5486,4996,6348,6280,3472,4232,4410,3150,5871,6342,5289,5862,2226,1919,3013,4596,7987,3762,3812,3759,6358,5530,4184,6400
"32","Rikers Island",40.7931277,-73.88601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,2446,5704,5211,4475,3273,5626,2994,4344,3904,4275,4505,5561,5520,3615,4935,3246,5435,3392,5115,4829,5452,7022,3345,3600,3706,3892,5250,3268,4986
"33","Hunts Point",40.8120246,-73.8801301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3291,6450,5417,4334,1981,5712,2698,2359,2332,5506,5422,5767,5589,3403,2979,3672,5331,4528,6416,5665,5701,6237,3581,3789,4094,2367,2848,4068,4062
"34","Jackson Heights",40.7556818,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967,4924,4188,3617,5086,2822,3455,4133,3005,3109,5527,4411,3729,4331,3535,5178,2531,3556,3424,4524,5553,2610,3339,3119,3738,3936,1738,5229
"35","Bath Beach",40.602196,-74.0035709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,2874,5005,1920,4337,4880,5492,4788,4076,3595,4422,5578,5683,4630,2336,3671,4247,3222,629,3545,3163,3166,2919,6059,5901,5131,6071
"36","Old Town-Dongan Hills-South Beach",40.588849,-74.09609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3922,4941,3922,4456,4960,5572,6499,6410,5169,5199,5163,5831,4807,391,4483,5059,5445,2707,1462,3893,3622,3671,5478,4582,5155,6010
