"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy"
"43","Jamaica Estates-Holliswood",40.7187082,-73.7704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,4255,4038,4755,5254,4201,4920,1403,2411,2848,4242,6829,3654,4199,3842,4800,5591,2655,5335,3135,3633,5022,7201,6040,4728,4874,3931,2203,2650,2159,2500,5090,3937,3528,4288,3508,5161,3332,3854,3435,4378,3473,3827,2456,3301,6499,5168,3808,2358,3721
"44","Hollis",40.7112203,-73.762495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685,3124,5440,5060,3569,4350,462,2140,2278,3672,7167,3842,4459,2771,5148,5482,2965,5733,2412,3063,4452,5374,5251,5076,5153,4591,2551,1835,2302,3241,5410,4335,4247,4548,2938,4218,2762,3988,3786,4452,2903,3431,2940,2800,5058,4598,3238,2082,2829
"45","Flatlands",40.6268432,-73.9330429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,5775,6031,4830,5071,3241,3796,1446,2720,4784,3053,3679,3413,5871,5039,3827,6303,4532,3784,3264,5164,5041,5931,5666,4859,5017,5086,4325,4884,5655,3060,4660,4953,3280,5515,2588,4132,5280,4947,2910,2966,3948,2646,4704,4394,3640,5320,3064
"46","East New York",40.6568312,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5094,6021,5038,4226,2120,3130,1080,5018,4854,3332,2883,3215,5789,5523,3519,5783,4081,2779,4566,5547,5424,5681,4992,4223,3636,3061,3552,2948,5261,2655,3086,5966,2915,4897,2235,4165,4295,5085,2111,2577,3279,1438,5100,4018,3528,3905,3330
"47","Kingsbridge Heights",40.869861,-73.8982492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,2460,4582,5408,5553,4856,5127,5458,3093,2925,3184,3046,1053,3403,1593,2833,2761,5582,5578,5455,2606,633,2175,4077,3336,4310,3845,2212,3548,3788,1056,4265,942,4009,1668,2754,2001,3671,2511,2612,4371,5160,5166,4175,5081,2548
"48","Norwood",40.8771463,-73.8786601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584,5564,4438,5989,5498,5191,6814,3217,3597,3483,2980,954,3978,1719,3415,3373,5851,6220,5803,2218,1312,2593,4406,3618,4832,4173,2318,3620,4430,2630,4367,1652,4705,1815,3336,2819,4433,3243,2919,5163,5772,5328,4457,5417,3244
"49","Manhattanville",40.8169443,-73.9558333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413,3460,3796,4467,4209,5024,1993,2800,2501,3540,3630,3434,2094,2412,2402,5184,5356,5233,3951,1461,1794,3428,3217,3640,3606,3042,2638,3489,1513,3475,1336,3549,798,2717,2262,2922,2463,2253,3851,4457,4586,3715,4400,2262
"50","Grasmere-Arrochar-Ft. Wadsworth",40.603117,-74.084087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,5147,5374,2725,2071,3674,3403,3452,5259,4363,4828,5658,4057,2907,1965,1147,1650,5542,5265,5149,4351,4150,5270,5423,6033,3386,4352,4579,1763,4299,3337,3890,4510,4151,3468,2426,3663,4269,671,1843,1883,4891,3754
"51","Queens Village",40.71745,-73.73646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2176,3570,4852,4370,2975,2609,5037,5570,3533,5931,2751,2961,4350,5212,5089,6067,5611,4568,2286,1733,2135,2998,5749,4656,4030,6513,2836,4116,2660,3886,3684,4350,2741,3269,2320,2371,4896,4436,3076,1843,2667
"52","Springfield Gardens North",40.6626441,-73.7683784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,4097,7962,4192,4737,4669,5888,5880,4122,6263,3717,4458,6242,5739,5616,6034,5422,4590,3791,2845,3694,3823,5620,4527,4164,5914,3363,5305,3187,4603,3472,4986,3409,4621,3245,3178,7177,6623,5752,755,4331
"53","Canarsie",40.6402325,-73.9060579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3330,5514,3009,3106,2875,5624,5796,3196,5798,3898,2536,3666,5421,5298,5640,5369,4265,2979,3831,2895,2291,5190,2826,2328,4292,3494,5040,2408,4056,4913,4796,2262,2632,3273,2056,4870,3837,4034,2753,2893
"54","Bensonhurst West",40.6112691,-73.9976946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707,2709,2984,2465,5635,5477,4718,5647,3927,2984,994,2663,2807,5699,5104,3945,4772,4370,4271,4639,5309,2815,3088,4507,1421,4919,2487,3797,4046,4741,2155,2492,3401,3347,2428,1518,1489,4335,2496
"55","West New Brighton-New Brighton-St. George",40.6423258,-74.0929194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3206,4049,4418,5990,5209,5657,6097,4677,3874,3146,1824,2199,6873,5619,4759,5181,5197,5931,5598,6510,3576,5321,5588,2783,5404,3645,4866,5469,4831,3782,2829,4091,5054,2695,3352,2903,5505,3157
"56","West Village",40.735781,-74.0035709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,957,3776,3959,2562,3470,1963,1036,3445,3762,3639,4242,2867,2017,2107,2232,3146,2651,3402,1154,1674,2949,1901,2712,1859,1869,2807,3023,1931,890,1442,2697,3019,2627,2291,3882,718
"57","East Village",40.7264773,-73.9815337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,3727,2899,3113,3985,2235,585,3170,4724,4601,4571,3382,2506,2536,2792,3862,2208,3521,974,1750,2659,2392,2299,2040,2105,2624,2923,2126,905,1624,2580,3314,3263,2392,4558,894
"58","Chinatown",40.7157509,-73.9970307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,2875,2831,3962,2099,1372,2600,3967,3844,4517,3396,2482,2967,2512,3891,2279,3497,945,2379,2635,1694,2275,1648,2340,2796,2899,1450,593,1774,2483,3736,2430,2436,4162,540
"59","Pelham Bay-Country Club-City Island",40.8505556,-73.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,3968,3344,3697,3805,6649,5611,5755,1184,2323,3118,3842,2435,2861,2380,3239,4221,4982,3023,5639,2586,4633,2828,3378,2141,4998,3915,3471,6082,5466,4973,5189,5493,3727
"60","Woodlawn-Wakefield",40.895361,-73.862916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4277,2372,3584,3512,4990,5379,5256,1842,1026,3064,3815,3284,4086,3583,1642,3128,3649,1800,4186,1584,5481,2597,2553,2044,5113,4072,2620,6053,4823,4330,4469,4858,2559
"61","Old Astoria",40.7331241,-73.8927255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5058,2071,2227,5935,5606,5483,4439,4040,3435,1956,1111,2081,2585,4387,3218,2636,3495,3965,4581,3108,2823,2390,3557,4026,2993,1467,3239,5940,4685,3814,3336,2932
"62","Van Cortlandt Village",40.8910788,-73.8948475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4199,3857,5634,5799,5943,3708,1356,2777,4883,4672,5616,4195,3260,4134,4495,1018,5571,871,4839,1443,3331,3349,4377,3918,3708,5347,5912,5456,5344,5975,3722
"63","Astoria",40.7643574,-73.9234619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,4793,4747,4624,4047,3719,2219,2016,1545,2437,1814,3421,2657,1943,2559,3404,2199,3028,2966,1096,2666,2913,1830,791,4001,4479,3975,3657,3320,2005
"64","Stuyvesant Town-Cooper Village",40.7317047,-73.9778512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109,5098,3836,3616,3321,2222,2475,2557,3801,2147,3316,1433,1689,2454,2916,2094,1979,2044,2901,2512,2065,1072,1563,2519,3253,3847,2976,4206,959
"65","Dyker Heights",40.6187181,-74.0153231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,2723,5287,4921,4754,5588,5073,4944,5298,5982,3201,3837,6729,1253,4743,2827,4011,5357,5444,2828,2976,4065,4024,2792,1272,1638,4664,2273
"66","New Brighton-Silver Lake",40.6269237,-74.0953653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,7361,5349,4939,5735,5040,6275,5441,6854,4065,4906,5932,3317,5472,4260,4750,5599,5319,4418,3144,4381,4986,2418,3457,3497,6228,3666
"67","Westerleigh",40.616296,-74.1386767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6381,4709,4933,5504,4960,6045,6451,6624,4474,5530,5702,2911,5422,4485,4700,5549,5077,4308,3320,4479,5108,1302,3366,3406,6507,4229
"68","Co-op City",40.8749698,-73.8281865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,3368,4353,2946,3587,2891,3472,4754,5017,4587,6016,2699,5032,2941,3738,3329,5986,3989,3872,6267,6041,6311,5993,6074,4634
"69","University Heights-Morris Heights",40.862248,-73.91312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,4035,3074,4030,3343,2011,3166,4006,300,4303,180,4291,895,2313,2875,4082,3153,3160,4774,5364,5128,4638,5427,3174
"70","East Concourse-Concourse Village",40.7944562,-73.9547233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410,3229,3817,3403,2694,2599,2812,1772,3403,1809,3241,1391,2358,1746,3204,2188,2093,4019,4739,4579,3708,4205,2070
"71","Bayside-Bayside Hills",40.76314,-73.77125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,1595,575,4564,3171,2344,3792,4554,4157,3470,3132,2952,4239,3883,2909,1944,3445,5418,4648,4394,3899,2867
"72","North Corona",40.7502698,-73.8624893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,659,4026,2642,2318,3164,4032,3939,2752,2937,2234,3071,3558,2355,1166,3001,4854,4620,4032,2549,2206
"73","Kew Gardens Hills",40.7384986,-73.8106854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,5441,4224,3447,4612,4043,5665,4291,4129,3739,4355,3648,3211,2551,3078,6200,6249,3983,2920,3938
"74","Pomonok-Flushing Heights-Hillcrest",40.75789,-73.83135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4573,3189,2173,3681,3799,3402,3299,3948,2307,3543,3128,2902,1713,3650,4663,5167,4296,3321,2387
"75","North Side-South Side",40.9087293,-73.8164787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4021,4561,2712,5038,2490,4782,2503,3465,2956,5614,3614,3592,5474,5795,6149,5278,7106,3471
"76","Lower East Side",40.715033,-73.9842724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138,2896,1918,3308,1396,2246,2759,3130,1731,961,1945,2445,3823,2759,1888,4414,885
"77","Greenpoint",40.7245448,-73.9418603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3323,2858,3801,2011,3043,2876,3837,2741,2071,1235,2525,4201,3819,2948,3788,1958
"78","Spuyten Duyvil-Kingsbridge",40.878245,-73.921455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126,120,3870,857,2553,2044,3791,2522,2500,5019,4763,5117,4246,4606,2199
"79","Sunset Park East",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4094,1848,3362,4380,3856,1600,1937,2701,2660,2692,1145,0,3750,1575
"80","Marble Hill-Inwood",40.874333,-73.910941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103,707,4190,1924,3641,2402,2380,4281,5176,5016,4145,5195,2079
"81","Fort Greene",40.6920638,-73.9741874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,3725,3537,829,1623,1826,2011,3401,2661,1790,3294,1627
"82","Washington Heights North",40.8417082,-73.9393554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553,1904,3450,1951,1898,3572,5014,4307,3436,4328,2281
"83","Steinway",40.7745459,-73.9037477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,3649,2566,1825,4549,5215,4711,4393,4152,2771
"84","Mott Haven-Port Morris",40.8014899,-73.9095811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3998,2915,2471,4756,5026,3973,4849,4789,2682
"85","Prospect Heights",40.6774196,-73.9668408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,2203,1922,4177,2517,1646,3115,1543
"86","Central Harlem North-Polo Grounds",40.7127837,-74.0059413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,2269,3211,2229,1958,4216,449
"87","Queensbridge-Ravenswood-Long Island City",40.744679,-73.9485424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343,4379,3514,2643,2759,1546
"88","Cypress Hills-City Line",40.6762144,-73.8870806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,3701,2889,2663,2336
"89","New Dorp-Midland Beach",40.57348,-74.11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735,2775,6311,4152
"90","Bay Ridge",40.6261638,-74.0329499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,4573,3088
"91","Sunset Park West",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,1575
"92","Baisley Park",40.6848793,-73.7822991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3809
"93","SoHo-TriBeCa-Civic Center-Little Italy",40.72288,-73.9987505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Battery Park City-Lower Manhattan",40.7114913,-74.016251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Clinton",40.7637581,-73.9918181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","West Brighton",40.6270298,-74.1093141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","South Jamaica",40.6808594,-73.7919103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
