"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"95",95,435,"86th St","Gravesend","W 7th St","86th St / Gravesend (N) Brooklyn","86th St / Gravesend (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9782063959877,40.5925836044354,"95"
"96",96,413,"86th St",NA,"4th Ave","86th St (R) Brooklyn","86th St (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0283474652852,40.6227967199669,"96"
"97",97,427,"8th Ave",NA,"62nd St","8th Ave (N) Brooklyn","8th Ave (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-74.0105968759259,40.6345044632188,"97"
"98",98,414,"95th St","Bay Ridge","4th Ave","95th St / Bay Ridge (R) Brooklyn","95th St / Bay Ridge (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0310813991616,40.6159763263944,"98"
"101",101,320,"Alabama Ave",NA,"Fulton St","Alabama Ave (J) Brooklyn","Alabama Ave (J)","Brooklyn",NA,"J","J","BROWN",NA,NA,-73.8999497857832,40.6768662465297,"101"
"103",103,457,"Atlantic Ave",NA,"Snediker Ave","Atlantic Ave (L) Brooklyn","Atlantic Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9029229379177,40.6758026827388,"103"
"105",105,391,"Ave H",NA,"E 16th St","Ave H (Q) Brooklyn","Ave H (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9617778760903,40.6300195922045,"105"
"106",106,349,"Ave I",NA,"McDonald Ave","Ave I (F) Brooklyn","Ave I (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9762488585189,40.625970814645,"106"
"107",107,392,"Ave J",NA,"E 16th St","Ave J (Q) Brooklyn","Ave J (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9608477369306,40.6252347251882,"107"
"108",108,393,"Ave M",NA,"E 16th St","Ave M (Q) Brooklyn","Ave M (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9594633459032,40.6180578320636,"108"
